시도코드,시도명,시군구코드,시군구명,읍면동코드,읍면동명,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
47,경상북도,47170,경상북도 안동시,3704035,일직면,2013,-69.7265625,5,-13.42281879,4,66.57997399
47,경상북도,47170,경상북도 안동시,3704036,남후면,2013,-67.67136607,2,3.50877193,1,56.46017699
47,경상북도,47170,경상북도 안동시,3704037,남선면,2013,-65.58181008,2,-6.086956522,1,62.50880902
47,경상북도,47170,경상북도 안동시,3704038,임하면,2013,-65.56008147,2,-25.21008403,2,64.17056682
47,경상북도,47170,경상북도 안동시,3704039,길안면,2013,-70.41217896,5,-3.50877193,2,68.37682441
47,경상북도,47170,경상북도 안동시,3704040,임동면,2013,-84.10637536,2,-30,1,71.53687112
47,경상북도,47170,경상북도 안동시,3704041,예안면,2013,-77.55128042,2,-18.94736842,2,76.31233596
47,경상북도,47170,경상북도 안동시,3704042,도산면,2013,-78.15943896,5,-19.01408451,2,73.92909897
47,경상북도,47170,경상북도 안동시,3704043,녹전면,2013,-73.59691989,1,-4.615384615,1,64.84424666
47,경상북도,47170,경상북도 안동시,3704051,중구동,2013,-31.90848886,5,-15.49831081,3,76.59243915
47,경상북도,47170,경상북도 안동시,3704052,명륜동,2013,-18.10334042,5,-4.249291785,1,69.5049505
47,경상북도,47170,경상북도 안동시,3704054,용상동,2013,-15.01788618,2,-4.056162246,2,63.60026473
